season,hr,total_rentals
1,0,4878
1,1,3229
1,2,2175
1,3,1108
1,4,490
1,5,1830
1,6,7261
1,7,20655
1,8,42095
1,9,26316
1,10,17939
1,11,21575
1,12,27131
1,13,28175
1,14,26605
1,15,28018
1,16,32999
1,17,47780
1,18,43110
1,19,29837
1,20,21211
1,21,16497
1,22,12440
1,23,7994
2,0,10459
2,1,6481
2,2,4302
2,3,2084
2,4,1118
2,5,3508
2,6,14549
2,7,40753
2,8,69945
2,9,43053
2,10,34919
2,11,42585
2,12,51252
2,13,52022
2,14,48903
2,15,51382
2,16,63831
2,17,95468
2,18,88904
2,19,65994
2,20,47285
2,21,35246
2,22,26885
2,23,17661
3,0,13822
3,1,8132
3,2,5716
3,3,2930
3,4,1541
3,5,4947
3,6,18946
3,7,52000
3,8,79204
3,9,47927
3,10,40405
3,11,47319
3,12,56458
3,13,55656
3,14,53060
3,15,54221
3,16,69516
3,17,107562
3,18,102330
3,19,78383
3,20,58505
3,21,45147
3,22,34416
3,23,22986
4,0,9971
4,1,6322
4,2,4159
4,3,2052
4,4,1279
4,5,3976
4,6,14376
4,7,40763
4,8,69757
4,9,42142
4,10,32994
4,11,39841
4,12,49573
4,13,49066
4,14,47084
4,15,49528
4,16,61402
4,17,86050
4,18,75428
4,19,52575
4,20,37549
4,21,28555
4,22,21871
4,23,15300
